specinvoke r4356
 Invoked as: /root/speccpu2017/bin/specinvoke -d /root/speccpu2017/benchspec/CPU/557.xz_r/run/run_base_test_mytest-m64.0000 -f compare.cmd -E -e compare.err -o compare.stdout
timer ticks over every 1000 ns
 Environment in effect for these runs:
 # 1: TERM_PROGRAM_VERSION=1.75.1
 # 2: LOGNAME=root
 # 3: LC_ALL=C
 # 4: SPECDB_PWD=/root/speccpu2017
 # 5: VSCODE_IPC_HOOK_CLI=/run/user/0/vscode-ipc-08b18903-e0a7-48a2-9b1b-a63b2f8af88d.sock
 # 6: VSCODE_GIT_ASKPASS_EXTRA_ARGS=
 # 7: OLDPWD=/usr/bin
 # 8: SHELL=/bin/bash
 # 9: SHLVL=2
 #10: PATH=/root/speccpu2017/bin:/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/bin/remote-cli:/root/.cargo/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
 #11: _=/root/speccpu2017/bin/runcpu
 #12: HOME=/root
 #13: SSH_CLIENT=10.26.170.188 53645 22
 #14: XDG_SESSION_ID=374
 #15: GIT_ASKPASS=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/extensions/git/dist/askpass.sh
 #16: XDG_RUNTIME_DIR=/run/user/0
 #17: LS_COLORS=rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:
 #18: LC_LANG=C
 #19: TERM=xterm-256color
 #20: XDG_SESSION_CLASS=user
 #21: SPEC=/root/speccpu2017
 #22: SPECPERLLIB=/root/speccpu2017/bin/lib:/root/speccpu2017/bin
 #23: XDG_SESSION_TYPE=tty
 #24: LIBVIRT_DEFAULT_URI=qemu:///system
 #25: LD_LIBRARY_PATH=/usr/lib64/:/usr/lib/:/lib64
 #26: PWD=/root/speccpu2017
 #27: USER=root
 #28: LESSCLOSE=/usr/bin/lesspipe %s %s
 #29: VSCODE_GIT_IPC_HANDLE=/run/user/0/vscode-git-ea5b304dac.sock
 #30: LIBC_FATAL_STDERR_=1
 #31: MOTD_SHOWN=pam
 #32: VSCODE_GIT_ASKPASS_NODE=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/node
 #33: LANG=en_US.UTF-8
 #34: DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/0/bus
 #35: SSH_CONNECTION=10.26.170.188 53645 172.18.36.170 22
 #36: COLORTERM=truecolor
 #37: VSCODE_GIT_ASKPASS_MAIN=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/extensions/git/dist/askpass-main.js
 #38: XDG_DATA_DIRS=/usr/local/share:/usr/share:/var/lib/snapd/desktop
 #39: TERM_PROGRAM=vscode
 #40: BROWSER=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/bin/helpers/browser.sh
 #41: LESSOPEN=| /usr/bin/lesspipe %s
 #42: OMP_NUM_THREADS=1
 #43: OMP_THREAD_LIMIT=1
running commands in compare.cmd 1 times
runs started at		1677071474, 003897000, Wed Feb 22 21:11:14 2023
run 1 started at	1677071474, 003913000, Wed Feb 22 21:11:14 2023
child started: 0,	1677071474, 003919000, pid=1457023, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-1-0.out cpu2006docs.tar-1-0.out > cpu2006docs.tar-1-0.out.cmp'
child finished: 0,	1677071474, 098621000, sec=0, nsec=94702000, pid=1457023, rc=0
child started: 0,	1677071474, 098634000, pid=1457025, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-1-1.out cpu2006docs.tar-1-1.out > cpu2006docs.tar-1-1.out.cmp'
child finished: 0,	1677071474, 195281000, sec=0, nsec=96647000, pid=1457025, rc=0
child started: 0,	1677071474, 195293000, pid=1457027, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-1-2.out cpu2006docs.tar-1-2.out > cpu2006docs.tar-1-2.out.cmp'
child finished: 0,	1677071474, 287836000, sec=0, nsec=92543000, pid=1457027, rc=0
child started: 0,	1677071474, 287850000, pid=1457029, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-1-3e.out cpu2006docs.tar-1-3e.out > cpu2006docs.tar-1-3e.out.cmp'
child finished: 0,	1677071474, 381089000, sec=0, nsec=93239000, pid=1457029, rc=0
child started: 0,	1677071474, 381101000, pid=1457031, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-1-4.out cpu2006docs.tar-1-4.out > cpu2006docs.tar-1-4.out.cmp'
child finished: 0,	1677071474, 469385000, sec=0, nsec=88284000, pid=1457031, rc=0
child started: 0,	1677071474, 469397000, pid=1457033, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-1-4e.out cpu2006docs.tar-1-4e.out > cpu2006docs.tar-1-4e.out.cmp'
child finished: 0,	1677071474, 563767000, sec=0, nsec=94370000, pid=1457033, rc=0
child started: 0,	1677071474, 563781000, pid=1457035, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-4-0.out cpu2006docs.tar-4-0.out > cpu2006docs.tar-4-0.out.cmp'
child finished: 0,	1677071474, 658345000, sec=0, nsec=94564000, pid=1457035, rc=0
child started: 0,	1677071474, 658357000, pid=1457037, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-4-1.out cpu2006docs.tar-4-1.out > cpu2006docs.tar-4-1.out.cmp'
child finished: 0,	1677071474, 753091000, sec=0, nsec=94734000, pid=1457037, rc=0
child started: 0,	1677071474, 753103000, pid=1457039, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-4-2.out cpu2006docs.tar-4-2.out > cpu2006docs.tar-4-2.out.cmp'
child finished: 0,	1677071474, 840305000, sec=0, nsec=87202000, pid=1457039, rc=0
child started: 0,	1677071474, 840316000, pid=1457041, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-4-3e.out cpu2006docs.tar-4-3e.out > cpu2006docs.tar-4-3e.out.cmp'
child finished: 0,	1677071474, 934711000, sec=0, nsec=94395000, pid=1457041, rc=0
child started: 0,	1677071474, 934724000, pid=1457043, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-4-4.out cpu2006docs.tar-4-4.out > cpu2006docs.tar-4-4.out.cmp'
child finished: 0,	1677071475, 029004000, sec=0, nsec=94280000, pid=1457043, rc=0
child started: 0,	1677071475, 029017000, pid=1457045, '/root/speccpu2017/bin/specperl /root/speccpu2017/bin/harness/specdiff -m -l 10 /root/speccpu2017/benchspec/CPU/557.xz_r/data/test/output/cpu2006docs.tar-4-4e.out cpu2006docs.tar-4-4e.out > cpu2006docs.tar-4-4e.out.cmp'
child finished: 0,	1677071475, 116605000, sec=0, nsec=87588000, pid=1457045, rc=0
run 1 finished at:	1677071475, 116614000, Wed Feb 22 21:11:15 2023
run 1 elapsed time:	         1, 112701000, 1.112701000
runs finished at	1677071475, 116637000, Wed Feb 22 21:11:15 2023
runs elapsed time:	         1, 112740000, 1.112740000
specinvoke exit: rc=0
