 Just plot  F
 Next Time 2000-01-24_12:10:00
     Field   Ndifs    Tol        RMS (1)            RMS (2)     DIGITS    RMSE     pntwise max
      XLAT    PASSED
     XLONG    PASSED
  LU_INDEX    PASSED
       ZNU    PASSED
       ZNW    PASSED
        ZS    PASSED
       DZS    PASSED
   VAR_SSO    PASSED
   LAP_HGT    PASSED
         U    PASSED
         V    PASSED
         W    PASSED
        PH    PASSED
       PHB    PASSED
         T    PASSED
 HFX_FORCE    PASSED
  LH_FORCE    PASSED
 TSK_FORCE    PASSED
HFX_FORCE_    PASSED
LH_FORCE_T    PASSED
TSK_FORCE_    PASSED
        MU    PASSED
       MUB    PASSED
  NEST_POS    PASSED
         P    PASSED
        PB    PASSED
       FNM    PASSED
       FNP    PASSED
      RDNW    PASSED
       RDN    PASSED
       DNW    PASSED
        DN    PASSED
       CFN    PASSED
      CFN1    PASSED
     P_HYD    PASSED
        Q2    PASSED
        T2    PASSED
       TH2    PASSED
      PSFC    PASSED
       U10    PASSED
       V10    PASSED
       RDX    PASSED
       RDY    PASSED
      RESM    PASSED
   ZETATOP    PASSED
       CF1    PASSED
       CF2    PASSED
       CF3    PASSED
     XTIME    PASSED
    QVAPOR    PASSED
    QCLOUD    PASSED
     QRAIN    PASSED
      QICE    PASSED
     QSNOW    PASSED
    SHDMAX    PASSED
    SHDMIN    PASSED
    SNOALB    PASSED
      TSLB    PASSED
     SMOIS    PASSED
      SH2O    PASSED
    SMCREL    PASSED
    SEAICE    PASSED
     XICEM    PASSED
    SFROFF    PASSED
    UDROFF    PASSED
    VEGFRA    PASSED
    GRDFLX    PASSED
  ACGRDFLX    PASSED
    ACSNOM    PASSED
      SNOW    PASSED
     SNOWH    PASSED
    CANWAT    PASSED
     SSTSK    PASSED
    COSZEN    PASSED
       LAI    PASSED
       VAR    PASSED
  MAPFAC_M    PASSED
  MAPFAC_U    PASSED
  MAPFAC_V    PASSED
 MAPFAC_MX    PASSED
 MAPFAC_MY    PASSED
 MAPFAC_UX    PASSED
 MAPFAC_UY    PASSED
 MAPFAC_VX    PASSED
 MF_VX_INV    PASSED
 MAPFAC_VY    PASSED
         F    PASSED
         E    PASSED
  SINALPHA    PASSED
  COSALPHA    PASSED
       HGT    PASSED
       TSK    PASSED
     P_TOP    PASSED
       T00    PASSED
       P00    PASSED
       TLP    PASSED
      TISO    PASSED
 TLP_STRAT    PASSED
   P_STRAT    PASSED
 MAX_MSTFX    PASSED
 MAX_MSTFY    PASSED
     RAINC    PASSED
    RAINSH    PASSED
    RAINNC    PASSED
    SNOWNC    PASSED
 GRAUPELNC    PASSED
    HAILNC    PASSED
    CLDFRA    PASSED
    SWDOWN    PASSED
       GLW    PASSED
    SWNORM    PASSED
       OLR    PASSED
    XLAT_U    PASSED
   XLONG_U    PASSED
    XLAT_V    PASSED
   XLONG_V    PASSED
    ALBEDO    PASSED
      CLAT    PASSED
    ALBBCK    PASSED
     EMISS    PASSED
   NOAHRES    PASSED
       TMN    PASSED
     XLAND    PASSED
       UST    PASSED
      PBLH    PASSED
       HFX    PASSED
       QFX    PASSED
        LH    PASSED
     ACHFX    PASSED
     ACLHF    PASSED
     SNOWC    PASSED
        SR    PASSED
 AFWA_RAIN    PASSED
  LANDMASK    PASSED
  LAKEMASK    PASSED
       SST    PASSED
 SST_INPUT    PASSED
 Next Time 2000-01-24_12:20:00
     Field   Ndifs    Tol        RMS (1)            RMS (2)     DIGITS    RMSE     pntwise max
      XLAT    PASSED
     XLONG    PASSED
  LU_INDEX    PASSED
       ZNU    PASSED
       ZNW    PASSED
        ZS    PASSED
       DZS    PASSED
   VAR_SSO    PASSED
   LAP_HGT    PASSED
         U    PASSED
         V    PASSED
         W    PASSED
        PH    PASSED
       PHB    PASSED
         T    PASSED
 HFX_FORCE    PASSED
  LH_FORCE    PASSED
 TSK_FORCE    PASSED
HFX_FORCE_    PASSED
LH_FORCE_T    PASSED
TSK_FORCE_    PASSED
        MU    PASSED
       MUB    PASSED
  NEST_POS    PASSED
         P    PASSED
        PB    PASSED
       FNM    PASSED
       FNP    PASSED
      RDNW    PASSED
       RDN    PASSED
       DNW    PASSED
        DN    PASSED
       CFN    PASSED
      CFN1    PASSED
     P_HYD    PASSED
        Q2    PASSED
        T2    PASSED
       TH2    PASSED
      PSFC    PASSED
       U10    PASSED
       V10    PASSED
       RDX    PASSED
       RDY    PASSED
      RESM    PASSED
   ZETATOP    PASSED
       CF1    PASSED
       CF2    PASSED
       CF3    PASSED
     XTIME    PASSED
    QVAPOR    PASSED
    QCLOUD    PASSED
     QRAIN    PASSED
      QICE    PASSED
     QSNOW    PASSED
    SHDMAX    PASSED
    SHDMIN    PASSED
    SNOALB    PASSED
      TSLB    PASSED
     SMOIS    PASSED
      SH2O    PASSED
    SMCREL    PASSED
    SEAICE    PASSED
     XICEM    PASSED
    SFROFF    PASSED
    UDROFF    PASSED
    VEGFRA    PASSED
    GRDFLX    PASSED
  ACGRDFLX    PASSED
    ACSNOM    PASSED
      SNOW    PASSED
     SNOWH    PASSED
    CANWAT    PASSED
     SSTSK    PASSED
    COSZEN    PASSED
       LAI    PASSED
       VAR    PASSED
  MAPFAC_M    PASSED
  MAPFAC_U    PASSED
  MAPFAC_V    PASSED
 MAPFAC_MX    PASSED
 MAPFAC_MY    PASSED
 MAPFAC_UX    PASSED
 MAPFAC_UY    PASSED
 MAPFAC_VX    PASSED
 MF_VX_INV    PASSED
 MAPFAC_VY    PASSED
         F    PASSED
         E    PASSED
  SINALPHA    PASSED
  COSALPHA    PASSED
       HGT    PASSED
       TSK    PASSED
     P_TOP    PASSED
       T00    PASSED
       P00    PASSED
       TLP    PASSED
      TISO    PASSED
 TLP_STRAT    PASSED
   P_STRAT    PASSED
 MAX_MSTFX    PASSED
 MAX_MSTFY    PASSED
     RAINC    PASSED
    RAINSH    PASSED
    RAINNC    PASSED
    SNOWNC    PASSED
 GRAUPELNC    PASSED
    HAILNC    PASSED
    CLDFRA    PASSED
    SWDOWN    PASSED
       GLW    PASSED
    SWNORM    PASSED
       OLR    PASSED
    XLAT_U    PASSED
   XLONG_U    PASSED
    XLAT_V    PASSED
   XLONG_V    PASSED
    ALBEDO    PASSED
      CLAT    PASSED
    ALBBCK    PASSED
     EMISS    PASSED
   NOAHRES    PASSED
       TMN    PASSED
     XLAND    PASSED
       UST    PASSED
      PBLH    PASSED
       HFX    PASSED
       QFX    PASSED
        LH    PASSED
     ACHFX    PASSED
     ACLHF    PASSED
     SNOWC    PASSED
        SR    PASSED
 AFWA_RAIN    PASSED
  LANDMASK    PASSED
  LAKEMASK    PASSED
       SST    PASSED
 SST_INPUT    PASSED
 Next Time 2000-01-24_12:30:00
     Field   Ndifs    Tol        RMS (1)            RMS (2)     DIGITS    RMSE     pntwise max
      XLAT    PASSED
     XLONG    PASSED
  LU_INDEX    PASSED
       ZNU    PASSED
       ZNW    PASSED
        ZS    PASSED
       DZS    PASSED
   VAR_SSO    PASSED
   LAP_HGT    PASSED
         U    PASSED
         V    PASSED
         W    PASSED
        PH    PASSED
       PHB    PASSED
         T    PASSED
 HFX_FORCE    PASSED
  LH_FORCE    PASSED
 TSK_FORCE    PASSED
HFX_FORCE_    PASSED
LH_FORCE_T    PASSED
TSK_FORCE_    PASSED
        MU    PASSED
       MUB    PASSED
  NEST_POS    PASSED
         P    PASSED
        PB    PASSED
       FNM    PASSED
       FNP    PASSED
      RDNW    PASSED
       RDN    PASSED
       DNW    PASSED
        DN    PASSED
       CFN    PASSED
      CFN1    PASSED
     P_HYD    PASSED
        Q2    PASSED
        T2    PASSED
       TH2    PASSED
      PSFC    PASSED
       U10    PASSED
       V10    PASSED
       RDX    PASSED
       RDY    PASSED
      RESM    PASSED
   ZETATOP    PASSED
       CF1    PASSED
       CF2    PASSED
       CF3    PASSED
     XTIME    PASSED
    QVAPOR    PASSED
    QCLOUD    PASSED
     QRAIN    PASSED
      QICE    PASSED
     QSNOW    PASSED
    SHDMAX    PASSED
    SHDMIN    PASSED
    SNOALB    PASSED
      TSLB    PASSED
     SMOIS    PASSED
      SH2O    PASSED
    SMCREL    PASSED
    SEAICE    PASSED
     XICEM    PASSED
    SFROFF    PASSED
    UDROFF    PASSED
    VEGFRA    PASSED
    GRDFLX    PASSED
  ACGRDFLX    PASSED
    ACSNOM    PASSED
      SNOW    PASSED
     SNOWH    PASSED
    CANWAT    PASSED
     SSTSK    PASSED
    COSZEN    PASSED
       LAI    PASSED
       VAR    PASSED
  MAPFAC_M    PASSED
  MAPFAC_U    PASSED
  MAPFAC_V    PASSED
 MAPFAC_MX    PASSED
 MAPFAC_MY    PASSED
 MAPFAC_UX    PASSED
 MAPFAC_UY    PASSED
 MAPFAC_VX    PASSED
 MF_VX_INV    PASSED
 MAPFAC_VY    PASSED
         F    PASSED
         E    PASSED
  SINALPHA    PASSED
  COSALPHA    PASSED
       HGT    PASSED
       TSK    PASSED
     P_TOP    PASSED
       T00    PASSED
       P00    PASSED
       TLP    PASSED
      TISO    PASSED
 TLP_STRAT    PASSED
   P_STRAT    PASSED
 MAX_MSTFX    PASSED
 MAX_MSTFY    PASSED
     RAINC    PASSED
    RAINSH    PASSED
    RAINNC    PASSED
    SNOWNC    PASSED
 GRAUPELNC    PASSED
    HAILNC    PASSED
    CLDFRA    PASSED
    SWDOWN    PASSED
       GLW    PASSED
    SWNORM    PASSED
       OLR    PASSED
    XLAT_U    PASSED
   XLONG_U    PASSED
    XLAT_V    PASSED
   XLONG_V    PASSED
    ALBEDO    PASSED
      CLAT    PASSED
    ALBBCK    PASSED
     EMISS    PASSED
   NOAHRES    PASSED
       TMN    PASSED
     XLAND    PASSED
       UST    PASSED
      PBLH    PASSED
       HFX    PASSED
       QFX    PASSED
        LH    PASSED
     ACHFX    PASSED
     ACLHF    PASSED
     SNOWC    PASSED
        SR    PASSED
 AFWA_RAIN    PASSED
  LANDMASK    PASSED
  LAKEMASK    PASSED
       SST    PASSED
 SST_INPUT    PASSED
