specinvoke r4356
 Invoked as: /root/speccpu2017/bin/specinvoke -d /root/speccpu2017/benchspec/CPU/657.xz_s/run/run_base_test_mytest-m64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
timer ticks over every 1000 ns
 Environment in effect for these runs:
 # 1: SSH_CONNECTION=10.26.170.188 53645 172.18.36.170 22
 # 2: LC_LANG=C
 # 3: TERM_PROGRAM=vscode
 # 4: VSCODE_GIT_ASKPASS_EXTRA_ARGS=
 # 5: MOTD_SHOWN=pam
 # 6: PATH=/root/speccpu2017/bin:/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/bin/remote-cli:/root/.cargo/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
 # 7: VSCODE_GIT_IPC_HANDLE=/run/user/0/vscode-git-ea5b304dac.sock
 # 8: LC_ALL=C
 # 9: LESSCLOSE=/usr/bin/lesspipe %s %s
 #10: DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/0/bus
 #11: LS_COLORS=rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:
 #12: XDG_SESSION_CLASS=user
 #13: HOME=/root
 #14: OLDPWD=/usr/bin
 #15: TERM_PROGRAM_VERSION=1.75.1
 #16: BROWSER=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/bin/helpers/browser.sh
 #17: LIBC_FATAL_STDERR_=1
 #18: SPECPERLLIB=/root/speccpu2017/bin/lib:/root/speccpu2017/bin
 #19: LESSOPEN=| /usr/bin/lesspipe %s
 #20: VSCODE_IPC_HOOK_CLI=/run/user/0/vscode-ipc-08b18903-e0a7-48a2-9b1b-a63b2f8af88d.sock
 #21: SPEC=/root/speccpu2017
 #22: TERM=xterm-256color
 #23: VSCODE_GIT_ASKPASS_NODE=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/node
 #24: PWD=/root/speccpu2017
 #25: VSCODE_GIT_ASKPASS_MAIN=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/extensions/git/dist/askpass-main.js
 #26: LIBVIRT_DEFAULT_URI=qemu:///system
 #27: XDG_SESSION_TYPE=tty
 #28: XDG_DATA_DIRS=/usr/local/share:/usr/share:/var/lib/snapd/desktop
 #29: COLORTERM=truecolor
 #30: LOGNAME=root
 #31: XDG_RUNTIME_DIR=/run/user/0
 #32: SPECDB_PWD=/root/speccpu2017
 #33: _=/root/speccpu2017/bin/runcpu
 #34: LANG=en_US.UTF-8
 #35: LD_LIBRARY_PATH=/usr/lib64/:/usr/lib/:/lib64
 #36: SSH_CLIENT=10.26.170.188 53645 22
 #37: XDG_SESSION_ID=374
 #38: SHLVL=2
 #39: USER=root
 #40: GIT_ASKPASS=/root/.vscode-server/bin/441438abd1ac652551dbe4d408dfcec8a499b8bf/extensions/git/dist/askpass.sh
 #41: SHELL=/bin/bash
 #42: OMP_NUM_THREADS=4
running commands in speccmds.cmd 1 times
runs started at		1677073546, 943533000, Wed Feb 22 21:45:46 2023
run 1 started at	1677073546, 943549000, Wed Feb 22 21:45:46 2023
child started: 0,	1677073546, 943555000, pid=1477816, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 4 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 1548636 1555348 0 > cpu2006docs.tar-4-0.out 2>> cpu2006docs.tar-4-0.err'
child finished: 0,	1677073547, 303930000, sec=0, nsec=360375000, pid=1477816, rc=0
child started: 0,	1677073547, 303944000, pid=1477821, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 4 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 1462248 -1 1 > cpu2006docs.tar-4-1.out 2>> cpu2006docs.tar-4-1.err'
child finished: 0,	1677073547, 799343000, sec=0, nsec=495399000, pid=1477821, rc=0
child started: 0,	1677073547, 799358000, pid=1477824, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 4 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 1428548 -1 2 > cpu2006docs.tar-4-2.out 2>> cpu2006docs.tar-4-2.err'
child finished: 0,	1677073548, 363703000, sec=0, nsec=564345000, pid=1477824, rc=0
child started: 0,	1677073548, 363721000, pid=1477826, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 4 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 1034828 -1 3e > cpu2006docs.tar-4-3e.out 2>> cpu2006docs.tar-4-3e.err'
child finished: 0,	1677073549, 631691000, sec=1, nsec=267970000, pid=1477826, rc=0
child started: 0,	1677073549, 631708000, pid=1477828, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 4 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 1061968 -1 4 > cpu2006docs.tar-4-4.out 2>> cpu2006docs.tar-4-4.err'
child finished: 0,	1677073550, 452557000, sec=0, nsec=820849000, pid=1477828, rc=0
child started: 0,	1677073550, 452573000, pid=1477830, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 4 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 1034588 -1 4e > cpu2006docs.tar-4-4e.out 2>> cpu2006docs.tar-4-4e.err'
child finished: 0,	1677073551, 797785000, sec=1, nsec=345212000, pid=1477830, rc=0
child started: 0,	1677073551, 797803000, pid=1477832, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 1 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 650156 -1 0 > cpu2006docs.tar-1-0.out 2>> cpu2006docs.tar-1-0.err'
child finished: 0,	1677073552, 116428000, sec=0, nsec=318625000, pid=1477832, rc=0
child started: 0,	1677073552, 116451000, pid=1477835, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 1 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 639996 -1 1 > cpu2006docs.tar-1-1.out 2>> cpu2006docs.tar-1-1.err'
child finished: 0,	1677073552, 434124000, sec=0, nsec=317673000, pid=1477835, rc=0
child started: 0,	1677073552, 434141000, pid=1477837, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 1 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 637616 -1 2 > cpu2006docs.tar-1-2.out 2>> cpu2006docs.tar-1-2.err'
child finished: 0,	1677073552, 748472000, sec=0, nsec=314331000, pid=1477837, rc=0
child started: 0,	1677073552, 748489000, pid=1477839, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 1 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 628996 -1 3e > cpu2006docs.tar-1-3e.out 2>> cpu2006docs.tar-1-3e.err'
child finished: 0,	1677073553, 155896000, sec=0, nsec=407407000, pid=1477839, rc=0
child started: 0,	1677073553, 155915000, pid=1477841, '../run_base_test_mytest-m64.0000/xz_s_base.mytest-m64 cpu2006docs.tar.xz 1 055ce243071129412e9dd0b3b69a21654033a9b723d874b2015c774fac1553d9713be561ca86f74e4f16f22e664fc17a79f30caa5ad2c04fbc447549c2810fae 631912 -1 4 > cpu2006docs.tar-1-4.out 2>> cpu2006docs.tar-1-4.err'
child finished: 0,	1677073553, 500343000, sec=0, nsec=344428000, pid=1477841, rc=0
